city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Karşıyaka , Şemikler Mah.,2,1,90,2,5,5000000
İzmir , Karşıyaka , Alaybey Mah.,1,1,45,1,2,3125000
İzmir , Bergama , Zafer Mah.,3,1,165,5,4,4250000
İzmir , Bergama , Maltepe Mah.,3,1,125,20,2,3490000
İzmir , Buca , Buca Koop. Mah.,3,1,145,16,4,3399999
İzmir , Bayındır , Demircilik Mah.,3,1,110,4,1,2900000
İzmir , Çeşme , Ildır Mah.,3,1,150,14,0,9750000
İzmir , Torbalı , Muratbey Mah.,3,1,150,5,2,3600000
İzmir , Bayraklı , Soğukkuyu Mah.,3,1,160,11,2,11450000
İzmir , Seferihisar , Turabiye Mah.,2,1,100,8,1,2930000
İzmir , Menderes , Kemalpaşa Mah.,4,1,208,0,0,13000000
İzmir , Karabağlar , Esenlik Mah.,3,1,130,31,6,2200000
İzmir , Menderes , Kemalpaşa Mah.,2,1,90,7,3,3450000
İzmir , Menderes , Kemalpaşa Mah.,2,1,93,4,1,3900000
İzmir , Karşıyaka , Şemikler Mah.,3,1,120,13,4,4875000
İzmir , Konak , Çınarlı Mah.,1,1,45,3,2,5500000
İzmir , Foça , Atatürk Mah.,3,1,150,31,0,10500000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,90,5,3,4700000
İzmir , Dikili , Çandarlı Mah.,2,1,180,0,0,8250000
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,110,38,4,3000000
İzmir , Karşıyaka , Şemikler Mah.,2,1,100,28,4,3950000
İzmir , Konak , Atilla Mah.,2,1,95,25,4,2950000
İzmir , Konak , Mehmet Ali Akman Mah.,4,1,182,27,7,6400000
İzmir , Seferihisar , Mersin Alanı Mah.,3,1,140,2,0,5400000
İzmir , Torbalı , Alpkent Mah.,3,1,145,0,2,5500000
İzmir , Torbalı , Torbalı Mah.,2,1,105,3,1,2850000
İzmir , Selçuk , Atatürk Mah.,3,1,145,15,3,5300000
İzmir , Çiğli , Ataşehir Mah.,3,1,204,4,1,11200000
İzmir , Çiğli , Evka - 2 Mah.,2,1,80,35,6,2650000
İzmir , Çiğli , Yakakent Mah.,3,1,147,10,7,3750000
İzmir , Dikili , Salimbey Mah.,2,1,95,30,2,2900000
İzmir , Menemen , İstiklal Mah.,2,1,122,2,6,7000000
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,3,1,140,20,1,3950000
İzmir , Çiğli , Atatürk Mah.,2,1,100,4,1,3450000
İzmir , Menemen , Villakent Mah.,3,1,158,0,0,14990000
İzmir , Menemen , Villakent Mah.,3,1,153,0,0,11500000
İzmir , Bornova , Ergene Mah.,3,1,130,35,1,4950000
İzmir , Karşıyaka , Alaybey Mah.,2,1,100,45,4,2850000
İzmir , Buca , Yiğitler Mah.,3,1,110,7,-1,3500000
İzmir , Çiğli , Uğur Mumcu Mah.,3,1,135,5,6,4250000
İzmir , Ödemiş , Atatürk Mah.,2,1,105,17,3,2750000
İzmir , Menemen , İnönü Mah.,2,1,100,5,3,2950000
İzmir , Konak , Ferahlı Mah.,2,1,110,26,0,2750000
İzmir , Dikili , Gazipaşa Mah.,2,1,65,2,2,3250000
İzmir , Torbalı , Atatürk Mah.,2,1,100,0,2,2450000
İzmir , Karşıyaka , Şemikler Mah.,3,1,208,15,2,6950000
İzmir , Menemen , İsmet İnönü Mah.,3,1,130,4,1,2900000
İzmir , Narlıdere , 2. İnönü Mah.,3,1,161,12,2,6950000
İzmir , Urla , Zeytinler Mah.,2,1,90,2,0,5000000
İzmir , Bornova , Erzene Mah.,3,1,170,30,6,6500000
İzmir , Karabağlar , Doğanay Mah.,2,1,90,30,1,2600000
İzmir , Buca , Menderes Mah.,2,1,86,0,3,3650000
İzmir , Selçuk , Atatürk Mah.,4,1,180,19,4,5500000
İzmir , Bornova , Kazımdirik Mah.,2,1,115,0,3,9250000
İzmir , Dikili , Salimbey Mah.,3,1,170,3,1,6000000
İzmir , Menemen , Villakent Mah.,3,1,151,0,0,10660000
İzmir , Karabağlar , Esentepe Mah.,3,1,150,25,2,4500000
İzmir , Dikili , Çandarlı Mah.,2,1,70,4,3,3600000
İzmir , Balçova , Eğitim Mah.,2,1,100,30,1,3150000
İzmir , Çiğli , Ataşehir Mah.,3,1,120,10,3,4850000
İzmir , Bayraklı , Tepekule Mah.,2,1,90,22,2,3050000
İzmir , Ödemiş , Anafartalar Mah.,2,1,140,5,3,4500000
