city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Karşıyaka , Alaybey Mah.,1,1,45,1,2,3125000
İzmir , Konak , Çankaya Mah.,3,1,125,35,3,5450000
İzmir , Torbalı , Ertuğrul Mah.,2,1,100,5,5,2735000
İzmir , Seferihisar , Orhanlı Mah.,1,1,120,21,0,3000000
İzmir , Güzelbahçe , Payamlı Mah.,2,1,64,7,0,4500000
İzmir , Karşıyaka , İnönü Mah.,2,1,85,5,3,6100000
İzmir , Menderes , Gölcükler Mah.,4,1,175,0,0,8600000
İzmir , Dikili , Çandarlı Mah.,3,1,143,0,0,9250000
İzmir , Karabağlar , Arap Hasan Mah.,2,1,90,35,1,3550000
İzmir , Foça , Kazım Dirik Mah.,2,1,100,1,2,3400000
İzmir , Karşıyaka , Şemikler Mah.,2,1,90,2,5,5000000
İzmir , Bergama , Zafer Mah.,3,1,165,5,4,4250000
İzmir , Bergama , Maltepe Mah.,3,1,125,20,2,3490000
İzmir , Seferihisar , Payamlı Mah.,3,1,165,0,0,8150000
İzmir , Bornova , Erzene Mah.,3,1,140,22,1,4000000
İzmir , Bayraklı , Manavkuyu Mah.,1,1,60,0,1,4250000
İzmir , Bayraklı , Çiçek Mah.,2,1,85,8,1,2140000
İzmir , Torbalı , Muratbey Mah.,3,1,145,11,1,3575000
İzmir , Dikili , Salihler Mah.,3,1,220,14,0,5950000
İzmir , Buca , Yeşilbağlar Mah.,3,1,110,30,4,2600000
İzmir , Karabağlar , Yurdoğlu Mah.,2,1,100,26,4,2300000
İzmir , Konak , Güzelyalı Mah.,3,1,160,40,1,4950000
İzmir , Seferihisar , Cumhuriyet Mah.,3,1,150,0,0,6850000
İzmir , Seferihisar , Mersin Alanı Mah.,4,1,220,20,0,6850000
İzmir , Karşıyaka , Bahçelievler Mah.,3,1,130,26,0,3000000
İzmir , Karşıyaka , Dedebaşı Mah.,3,1,150,5,2,7500000
İzmir , Bergama , Zeytindağ Mah.,3,1,140,40,0,3750000
İzmir , Seferihisar , Atatürk Mah.,3,1,150,0,0,6850000
İzmir , Menemen , Kemal Atatürk Mah.,2,1,90,0,3,3800000
İzmir , Çiğli , Yeni Mahalle Mah.,3,1,155,21,5,4250000
