"img-link href","list-view-image src","photo-count","list-view-price","list-view-date","list-view-title","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/izmir-karsiyaka-semikler-satilik/daire/153494-5","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/3/4/6/0/9/3/4/1734935923251-43906433.jpg","27","5.000.000","23-12-2024","Ordu Cad. Yakını Köşe Önü Açık Kapalı Mutfak 2+1 Satılık Daire...","Satılık Daire","2 +
                          1","90 m²","2
                        Yaşında","5. Kat","İzmir / Karşıyaka / Şemikler Mah.","https://www.hepsiemlak.com/emlak-ofisi/pier-gayrimenkul-153494","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/4/3/5/1/5e3da95d-90b4-4a8b-96c9-a6cfca58d1b2.jpg","Whatsapp","Pier Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-karsiyaka-alaybey-satilik/daire/153494-4","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/9/3/6/0/9/3/4/1734935095235-43906394.jpg","16","3.125.000","20-01-2025","Alaybey Sahile Çarşıya İzbana Yakın Arakat Satılık 1+1 Daire.. .","Satılık Daire","1 +
                          1","45 m²","1
                        Yaşında","2. Kat","İzmir / Karşıyaka / Alaybey Mah.","https://www.hepsiemlak.com/emlak-ofisi/pier-gayrimenkul-153494","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/4/3/5/1/5e3da95d-90b4-4a8b-96c9-a6cfca58d1b2.jpg","Whatsapp","Pier Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-bergama-zafer-satilik/daire/87156-5","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/9/9/0/1/8/2/4/9ab8e3f4-598e-419f-89d2-36973fe4ca47.jpeg","33","4.250.000","07-01-2025","Bergama Zafer Mahallesinde Satılık Daire 3+1 165 M2","Satılık Daire","3 +
                          1","165 m²","5
                        Yaşında","4. Kat","İzmir / Bergama / Zafer Mah.","https://www.hepsiemlak.com/emlak-ofisi/kozber-gayrimenkul-87156","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/1/7/8/0/694c39f6-c95a-440a-a1e0-87b420743b2f.jpg","Whatsapp","Kozber Gayrimenkul",""
"https://www.hepsiemlak.com/izmir-bergama-maltepe-satilik/daire/87156-58","","26","3.490.000","27-01-2025","Bergama Maltepe Mahallesi'nde Satılık 3+1 Daire","Satılık Daire","3 +
                          1","125 m²","20
                        Yaşında","2. Kat","İzmir / Bergama / Maltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/kozber-gayrimenkul-87156","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/9/7/8/9/9/3/4/4e303a05-a616-4ea7-93a6-cbeac2136032.jpg","Whatsapp","Kozber Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/1/7/8/0/694c39f6-c95a-440a-a1e0-87b420743b2f.jpg"
"https://www.hepsiemlak.com/izmir-urla-zeytinalani-satilik/bina/34418-1932","","32","18.000.000","26-01-2025","Denize Sıfır Komple Bina 2 Daire Ve Dükkan!..","Satılık Bina","4 +
                          2","260 m²","25
                        Yaşında","","İzmir / Urla / Zeytinalanı Mah.","https://www.hepsiemlak.com/emlak-ofisi/adres-grup-gayrimenkul-34418/ayfer-dinar-707696","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/1/7/0/4/7/3/4/6f47b3c0-253d-4c80-9a9a-d4ca64281ae3.jpg","Whatsapp","Adres Grup Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/9/6/7/0/7/1a374889-625f-4583-862c-6dc65711c30a.jpg"
"https://www.hepsiemlak.com/izmir-buca-buca-koop-satilik/daire/34418-1973","","18","3.399.999","26-01-2025","Buca'da Satılık 3+1 Kupon Daire","Satılık Daire","3 +
                          1","145 m²","16
                        Yaşında","4. Kat","İzmir / Buca / Buca Koop. Mah.","https://www.hepsiemlak.com/emlak-ofisi/adres-grup-gayrimenkul-34418/ayfer-dinar-707696","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/4/9/5/7/0/4/4/46663ffc-a6af-4737-abb9-e4204ba0ccf8.jpeg","Whatsapp","Adres Grup Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/9/6/7/0/7/1a374889-625f-4583-862c-6dc65711c30a.jpg"
"https://www.hepsiemlak.com/izmir-bayindir-demircilik-satilik/daire/34418-1974","","24","2.900.000","26-01-2025","Fırsat!! Bayındır'da Satılık 3+1 Kupon Daire","Satılık Daire","3 +
                          1","110 m²","4
                        Yaşında","Yüksek Giriş","İzmir / Bayındır / Demircilik Mah.","https://www.hepsiemlak.com/emlak-ofisi/adres-grup-gayrimenkul-34418/ayfer-dinar-707696","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/4/9/5/7/0/4/4/71e21a8d-a4a7-4631-afe8-c5e2466cd637.jpeg","Whatsapp","Adres Grup Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/9/6/7/0/7/1a374889-625f-4583-862c-6dc65711c30a.jpg"
"https://www.hepsiemlak.com/izmir-cesme-ildir-satilik/villa/141625-186","","39","9.750.000","26-01-2025","Fiyat Düştü! Ulufer'den Çeşme'de Deniz Manzaralı Havuzlu Sitede Satılık Villa","Satılık Villa","3 +
                          1","150 m²","14
                        Yaşında","","İzmir / Çeşme / Ildır Mah.","https://www.hepsiemlak.com/emlak-ofisi/ulufer-yapi-gayrimenkul-141625","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/0/4/9/7/8/3/4/f78b567b-523a-4b82-b97d-787354988713.jpg","Whatsapp","Ulufer Yapı Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/2/6/1/4/1/45d3cedc-ba1d-4b73-9cb3-d7be84bb6394.jpg"
"https://www.hepsiemlak.com/izmir-torbali-muratbey-satilik/daire/154461-9","","28","3.600.000","25-01-2025","Turkuaz'dan Site İçi Fırsat 3+1 Lüks","Satılık Daire","3 +
                          1","150 m²","5
                        Yaşında","2. Kat","İzmir / Torbalı / Muratbey Mah.","https://www.hepsiemlak.com/emlak-ofisi/turkuaz-emlak-154461","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/0/2/9/7/0/4/4/8b798cb3-d1fc-4f96-bcd0-2053b60360ac.jpeg","Whatsapp","Turkuaz Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/4/4/5/1/f416dff6-0056-48ce-9521-98f89caab39c.jpg"
"https://www.hepsiemlak.com/izmir-bayrakli-sogukkuyu-satilik/daire/145314-7","","35","11.450.000","25-01-2025","Yeni Girnede Güvenlikli Sitede 3+1 Satılık Lüks Daire","Satılık Daire","3 +
                          1","160 m²","11
                        Yaşında","2. Kat","İzmir / Bayraklı / Soğukkuyu Mah.","https://www.hepsiemlak.com/emlak-ofisi/mustafa-yildirim-emlak-145314","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/8/5/3/9/6/2/4/c0891954-d576-4d2d-bf6e-b78672615d16.jpeg","Whatsapp","Mustafa Yıldırım Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/1/3/5/4/1/31fc9704-867c-4517-a5d4-7b80f7fbaf32.jpg"
