"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","wp-btn","listing-card--owner-info__firm-name","he-lazy-image src 2","list-view-header"
"https://www.hepsiemlak.com/izmir-karsiyaka-alaybey-satilik/daire/153494-4","16","3.125.000","01-02-2025","Satılık Daire","1 +
                          1","45 m²","1
                        Yaşında","2. Kat","İzmir / Karşıyaka / Alaybey Mah.","https://www.hepsiemlak.com/emlak-ofisi/pier-gayrimenkul-153494","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/4/3/5/1/5e3da95d-90b4-4a8b-96c9-a6cfca58d1b2.jpg","Whatsapp","Pier Gayrimenkul","",""
"https://www.hepsiemlak.com/izmir-konak-cankaya-satilik/daire/142036-296","41","5.450.000","01-02-2025","Satılık Daire","3 +
                          1","125 m²","35
                        Yaşında","3. Kat","İzmir / Konak / Çankaya Mah.","https://www.hepsiemlak.com/emlak-ofisi/pozitif-gayrimenkul-142036","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/0/2/4/1/edd4bee6-7c8a-49e0-9390-abac517ce137.jpg","Whatsapp","Pozitif Gayrimenkul","",""
"https://www.hepsiemlak.com/izmir-torbali-ertugrul-satilik/daire/154461-1","12","2.735.000","30-01-2025","Satılık Daire","2 +
                          1","100 m²","5
                        Yaşında","5. Kat","İzmir / Torbalı / Ertuğrul Mah.","https://www.hepsiemlak.com/emlak-ofisi/turkuaz-emlak-154461","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/4/4/5/1/f416dff6-0056-48ce-9521-98f89caab39c.jpg","Whatsapp","Turkuaz Emlak","",""
"https://www.hepsiemlak.com/izmir-seferihisar-orhanli-satilik/mustakil-ev/154547-7","40","3.000.000","28-01-2025","Satılık Müstakil Ev","1 +
                          1","120 m²","21
                        Yaşında","Bahçe Katı","İzmir / Seferihisar / Orhanlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/altin-plus-gayrimenkul-154547/levent-aygun-4354889","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/4/4/5/0/1/4/4/cbc57dba-ab8b-4771-80bd-cf4f8666d4a5.jpeg","Whatsapp","Altın Plus Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/8/8/4/5/3/4/4877ba87-8ec8-4bc4-b052-b6f27d9269d2.jpg",""
"https://www.hepsiemlak.com/izmir-guzelbahce-payamli-satilik/mustakil-ev/143960-138","14","4.500.000","30-01-2025","Satılık Müstakil Ev","2 +
                          1","64 m²","7
                        Yaşında","","İzmir / Güzelbahçe / Payamlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/guneri-gayrimenkul-143960","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/8/3/4/6/1/3/4/653612f3-b63b-43bc-b155-a1d759cd9bd5.jpg","Whatsapp","Güneri Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/6/9/3/4/1/b61d64fa-753f-4fdf-a53b-c03b028a7adb.jpg",""
"https://www.hepsiemlak.com/izmir-karsiyaka-inonu-satilik/daire/23958-2003","31","6.100.000","27-01-2025","Satılık Daire","2 +
                          1","85 m²","5
                        Yaşında","3. Kat","İzmir / Karşıyaka / İnönü Mah.","https://www.hepsiemlak.com/emlak-ofisi/realeser-gayrimenkul-23958","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/0/5/5/1/0/4/4/ad9d8449-5fa1-4f5b-b86b-cfc7eb5122b1.jpeg","Whatsapp","Realeser Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/9/3/2/0/ce61dca3-3018-4065-96e4-d04898feab13.jpg",""
"https://www.hepsiemlak.com/izmir-menderes-golcukler-satilik/villa/154547-6","40","8.600.000","28-01-2025","Satılık Villa","4 +
                          1","175 m²","Sıfır Bina","Bahçe Katı","İzmir / Menderes / Gölcükler Mah.","https://www.hepsiemlak.com/emlak-ofisi/altin-plus-gayrimenkul-154547/levent-aygun-4354889","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/4/4/5/0/1/4/4/875621c9-1c1c-407a-8e58-0f5b43f10d85.jpeg","Whatsapp","Altın Plus Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/8/8/4/5/3/4/4877ba87-8ec8-4bc4-b052-b6f27d9269d2.jpg",""
"https://www.hepsiemlak.com/izmir-dikili-candarli-satilik/villa/18874-1193","35","9.250.000","27-01-2025","Satılık Villa","3 +
                          1","143 m²","Sıfır Bina","","İzmir / Dikili / Çandarlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/antik-gayrimenkul-18874","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/5/2/0/6/0/4/4/1737213623629-44060254.jpg","Whatsapp","Antik Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/8/8/1/0/cd06e1a9-d88e-40f5-bebe-a1183ac0ba09.png",""
"https://www.hepsiemlak.com/izmir-karabaglar-arap-hasan-satilik/daire/142036-200","50","3.550.000","11-12-2024","Satılık Daire","2 +
                          1","90 m²","35
                        Yaşında","Giriş Katı","İzmir / Karabağlar / Arap Hasan Mah.","https://www.hepsiemlak.com/emlak-ofisi/pozitif-gayrimenkul-142036","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/3/2/4/6/0/3/4/5c1bbd83-ca20-406f-b5ff-f090403cbfe1.jpg","Whatsapp","Pozitif Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/0/2/4/1/edd4bee6-7c8a-49e0-9390-abac517ce137.jpg",""
"https://www.hepsiemlak.com/izmir-foca-kazim-dirik-satilik/daire/141712-63","24","3.400.000","22-01-2025","Satılık Daire","2 +
                          1","100 m²","1
                        Yaşında","2. Kat","İzmir / Foça / Kazım Dirik Mah.","https://www.hepsiemlak.com/emlak-ofisi/yeler-gayrimenkul-danismanlik-2-141712","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/3/6/7/0/0/3/4/f71fd0b8-08c1-4277-b604-b8afad0ad89d.jpg","Whatsapp","Yeler Gayrimenkul Danışmanlık 2","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/1/7/1/4/1/c34cf62a-9871-4f68-a2c7-5b206910c2d6.jpg",""
"https://www.hepsiemlak.com/izmir-karsiyaka-semikler-satilik/daire/153494-5","27","5.000.000","23-12-2024","Satılık Daire","2 +
                          1","90 m²","2
                        Yaşında","5. Kat","İzmir / Karşıyaka / Şemikler Mah.","https://www.hepsiemlak.com/emlak-ofisi/pier-gayrimenkul-153494","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/3/4/6/0/9/3/4/1734935923251-43906433.jpg","Whatsapp","Pier Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/4/3/5/1/5e3da95d-90b4-4a8b-96c9-a6cfca58d1b2.jpg",""
"https://www.hepsiemlak.com/izmir-bergama-zafer-satilik/daire/87156-5","33","4.250.000","07-01-2025","Satılık Daire","3 +
                          1","165 m²","5
                        Yaşında","4. Kat","İzmir / Bergama / Zafer Mah.","https://www.hepsiemlak.com/emlak-ofisi/kozber-gayrimenkul-87156","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/9/9/0/1/8/2/4/9ab8e3f4-598e-419f-89d2-36973fe4ca47.jpeg","Whatsapp","Kozber Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/1/7/8/0/694c39f6-c95a-440a-a1e0-87b420743b2f.jpg",""
"https://www.hepsiemlak.com/izmir-bergama-maltepe-satilik/daire/87156-58","26","3.490.000","27-01-2025","Satılık Daire","3 +
                          1","125 m²","20
                        Yaşında","2. Kat","İzmir / Bergama / Maltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/kozber-gayrimenkul-87156","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/9/7/8/9/9/3/4/4e303a05-a616-4ea7-93a6-cbeac2136032.jpg","Whatsapp","Kozber Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/1/7/8/0/694c39f6-c95a-440a-a1e0-87b420743b2f.jpg",""
"https://www.hepsiemlak.com/izmir-seferihisar-payamli-satilik/villa/103656-1496","31","8.150.000","02-02-2025","Satılık Villa","3 +
                          1","165 m²","Sıfır Bina","","İzmir / Seferihisar / Payamlı Mah.","https://www.hepsiemlak.com/emlak-ofisi/verim-emlak-103656","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/6/3/0/1/d94ff709-d8ef-4ac7-a29d-301b968a4ec2.jpg","Whatsapp","Verim Emlak","","Doğanbey De Ultra Lüx Yaplıl Denize 350m2 Satılık 3+1 Yazlık"
"https://www.hepsiemlak.com/izmir-bornova-erzene-satilik/daire/60930-2837","26","4.000.000","20-01-2025","Satılık Daire","3 +
                          1","140 m²","22
                        Yaşında","1. Kat","İzmir / Bornova / Erzene Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Whatsapp","","","Sabri Cengiz Emlak Ta Bornova Merkez De Evka 3 Metro Yakını 3+1 Satılık Daire"
"https://www.hepsiemlak.com/izmir-bayrakli-manavkuyu-satilik/daire/60930-2831","27","4.250.000","25-01-2025","Satılık Daire","1 +
                          1","60 m²","Sıfır Bina","Yüksek Giriş","İzmir / Bayraklı / Manavkuyu Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Whatsapp","","","Sabri Cengiz Emlak Ta Bayraklı   Özkanlar Da 1+1 Sıfır Satılık Daire"
"https://www.hepsiemlak.com/izmir-bayrakli-cicek-satilik/daire/62397-507","31","2.140.000","28-01-2025","Satılık Daire","2 +
                          1","85 m²","8
                        Yaşında","Yüksek Giriş","İzmir / Bayraklı / Çiçek Mah.","","","Whatsapp","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/5/8/9/6/2/4/1716446716575-42698586.jpg","Bayraklı Çiçek Mahallesinde Caddeye Yakın Mesafede   Ferah Masrafsız  2+1 Satılık Daire"
"https://www.hepsiemlak.com/izmir-torbali-muratbey-satilik/daire/147472-99","33","3.575.000","29-01-2025","Satılık Daire","3 +
                          1","145 m²","11
                        Yaşında","Yüksek Giriş","İzmir / Torbalı / Muratbey Mah.","https://www.hepsiemlak.com/emlak-ofisi/reyhan-emlak-gayrimenkul-147472","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/4/7/4/1/f3592f85-aa56-412e-ba5e-61089c45417a.jpg","Whatsapp","Reyhan Emlak Gayrimenkul","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/9/6/0/1/4/4/1738060165111-44106976.jpg","Torbalı'nın En Nezıh Bölgesi Koruluk Mevki Site İçerisinde Satılık 3+1 Dairemiz"
"https://www.hepsiemlak.com/izmir-dikili-salihler-satilik/villa/124110-527","40","5.950.000","02-02-2025","Satılık Villa","3 +
                          1","220 m²","14
                        Yaşında","","İzmir / Dikili / Salihler Mah.","https://www.hepsiemlak.com/emlak-ofisi/ozbek-gayrimenkul-124110","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/1/1/4/2/1/d7ec3d0e-675b-48d3-a7d9-cc7fe9ce76b5.jpg","Whatsapp","Özbek Gayrimenkul","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/2/3/0/1/4/4/bd0da5eb-07ca-43ad-a6b9-850160629956.jpg","İzmir Dikili Salihleraltında 3+1 Full Eşyalı Satılık Lüks Villa"
"https://www.hepsiemlak.com/izmir-buca-yesilbaglar-satilik/daire/79070-4152","14","2.600.000","23-01-2025","Satılık Daire","3 +
                          1","110 m²","30
                        Yaşında","4. Kat","İzmir / Buca / Yeşilbağlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/harputlu-emlak-79070","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/0/9/7/0/0fa47fc4-61bc-4b4b-ac7e-43d67c11a6a0.jpg","Whatsapp","Harputlu Emlak","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/3/6/3/6/2/4/1715499855723-42636305.jpg","Buca Yeşilbağlar Mah.Site İçi 3+1 Satılık Daire"
"https://www.hepsiemlak.com/izmir-karabaglar-yurdoglu-satilik/daire/79070-4178","23","2.300.000","23-01-2025","Satılık Daire","2 +
                          1","100 m²","26
                        Yaşında","4. Kat","İzmir / Karabağlar / Yurdoğlu Mah.","https://www.hepsiemlak.com/emlak-ofisi/harputlu-emlak-79070","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/0/9/7/0/0fa47fc4-61bc-4b4b-ac7e-43d67c11a6a0.jpg","Whatsapp","Harputlu Emlak","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/5/7/4/9/2/4/1720526329465-42947500.jpg","Karabağlar Yurdoğlu Mah.Doğalgazlı İçi Yapılı 2+1 Satılık Daire"
"https://www.hepsiemlak.com/izmir-konak-guzelyali-satilik/daire/79070-4221","37","4.950.000","31-01-2025","Satılık Daire","3 +
                          1","160 m²","40
                        Yaşında","1. Kat","İzmir / Konak / Güzelyalı Mah.","https://www.hepsiemlak.com/emlak-ofisi/harputlu-emlak-79070","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/0/9/7/0/0fa47fc4-61bc-4b4b-ac7e-43d67c11a6a0.jpg","Whatsapp","Harputlu Emlak","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/9/2/4/0/4/4/1738315015232-44042964.jpg","Konak Güzelyalı Mah.İçi Temiz 3+1 Acıll Satılık Daire"
"https://www.hepsiemlak.com/izmir-seferihisar-cumhuriyet-satilik/villa/103656-1479","28","6.850.000","02-02-2025","Satılık Villa","3 +
                          1","150 m²","Sıfır Bina","","İzmir / Seferihisar / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/verim-emlak-103656","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/6/3/0/1/d94ff709-d8ef-4ac7-a29d-301b968a4ec2.jpg","Whatsapp","Verim Emlak","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/6/8/9/9/3/4/20ea7fb6-9920-4bc5-9ced-fbce629b396a.jpg","Seferihisar Doğanbey De Denize 300m2 Satılık 3+1 Villa"
